# question: 바울 서신에서 강조하는 '믿음으로 말미암는 의(이신칭의)'의 핵심 논거는 무엇인가?
# start: 2026-04-22T08:17:09.261567
# interval_sec: 1.0
# metrics: sm_pct=SM점유율, mem_pct=메모리컨트롤러점유율, pwr_w=현재전력, pwr_limit_w=전력한계, utilization_percent=pwr_w/pwr_limit_w*100 (주 사용률)
timestamp,gpu_index,utilization_percent,sm_pct,mem_pct,pwr_w,pwr_limit_w
2026-04-22 08:17:09.261,0,56.97,0,0,170.90,300.00
2026-04-22 08:17:09.261,1,30.69,0,0,92.06,300.00
2026-04-22 08:17:09.261,2,14.27,39,10,42.80,300.00
2026-04-22 08:17:09.261,3,25.66,0,0,76.99,300.00
2026-04-22 08:17:10.609,0,79.53,100,84,238.59,300.00
2026-04-22 08:17:10.609,1,83.27,100,84,249.80,300.00
2026-04-22 08:17:10.609,2,81.47,100,84,244.42,300.00
2026-04-22 08:17:10.609,3,79.49,100,85,238.47,300.00
2026-04-22 08:17:13.859,0,69.87,100,84,209.61,300.00
2026-04-22 08:17:13.859,1,58.67,100,84,176.01,300.00
2026-04-22 08:17:13.859,2,67.63,100,84,202.90,300.00
2026-04-22 08:17:13.859,3,50.04,100,84,150.13,300.00
# end: 2026-04-22T08:17:15.466629
# ===== SUMMARY =====
# GPU 0: util(pwr)=68.8% avg / 79.5% max, sm=66.7% avg / 100% max, mem=56.0% avg / 84% max, pwr=206.4W avg, samples=3
# GPU 1: util(pwr)=57.5% avg / 83.3% max, sm=66.7% avg / 100% max, mem=56.0% avg / 84% max, pwr=172.6W avg, samples=3
#   └ steady[1:3] (2/3): util(pwr)=71.0%, sm=100.0%, mem=84.0%, pwr=212.9W
# GPU 2: util(pwr)=54.5% avg / 81.5% max, sm=79.7% avg / 100% max, mem=59.3% avg / 84% max, pwr=163.4W avg, samples=3
#   └ steady[1:3] (2/3): util(pwr)=74.6%, sm=100.0%, mem=84.0%, pwr=223.7W
# GPU 3: util(pwr)=51.7% avg / 79.5% max, sm=66.7% avg / 100% max, mem=56.3% avg / 85% max, pwr=155.2W avg, samples=3
# OVERALL: util(pwr)=58.1% avg / 83.3% max, sm=69.9% avg, mem=56.9% avg, total_samples=12
# STEADY (램프업/테일오프 제외, 10/12 samples): util(pwr)=65.3%, sm=80.0%, mem=67.3%
# ===> GPU 평균 사용률: 약 65% (정상 구간 전력 기반)
# ===> 메모리 평균 사용률 : 약 67%
