# question: 예수님의 비유들 중에서 '하나님 나라'의 현재성과 미래성을 동시에 보여주는 사례는?
# start: 2026-04-22T08:18:03.496000
# interval_sec: 1.0
# metrics: sm_pct=SM점유율, mem_pct=메모리컨트롤러점유율, pwr_w=현재전력, pwr_limit_w=전력한계, utilization_percent=pwr_w/pwr_limit_w*100 (주 사용률)
timestamp,gpu_index,utilization_percent,sm_pct,mem_pct,pwr_w,pwr_limit_w
2026-04-22 08:18:03.496,0,72.42,0,0,217.27,300.00
2026-04-22 08:18:03.496,1,84.73,0,0,254.18,300.00
2026-04-22 08:18:03.496,2,64.61,0,0,193.82,300.00
2026-04-22 08:18:03.496,3,81.76,0,0,245.29,300.00
2026-04-22 08:18:06.069,0,80.90,100,88,242.70,300.00
2026-04-22 08:18:06.069,1,84.77,100,88,254.32,300.00
2026-04-22 08:18:06.069,2,83.19,100,88,249.58,300.00
2026-04-22 08:18:06.069,3,80.73,100,88,242.20,300.00
# end: 2026-04-22T08:18:08.558708
# ===== SUMMARY =====
# GPU 0: util(pwr)=76.7% avg / 80.9% max, sm=50.0% avg / 100% max, mem=44.0% avg / 88% max, pwr=230.0W avg, samples=2
# GPU 1: util(pwr)=84.8% avg / 84.8% max, sm=50.0% avg / 100% max, mem=44.0% avg / 88% max, pwr=254.2W avg, samples=2
# GPU 2: util(pwr)=73.9% avg / 83.2% max, sm=50.0% avg / 100% max, mem=44.0% avg / 88% max, pwr=221.7W avg, samples=2
# GPU 3: util(pwr)=81.2% avg / 81.8% max, sm=50.0% avg / 100% max, mem=44.0% avg / 88% max, pwr=243.7W avg, samples=2
# OVERALL: util(pwr)=79.1% avg / 84.8% max, sm=50.0% avg, mem=44.0% avg, total_samples=8
# STEADY (램프업/테일오프 제외, 8/8 samples): util(pwr)=79.1%, sm=50.0%, mem=44.0%
# ===> GPU 평균 사용률: 약 79% (정상 구간 전력 기반)
# ===> 메모리 평균 사용률 : 약 44%
